"~id","~start_node_id","~end_node_id","~relationship_type","name"
"5:855d6349-9478-498c-bfd7-7aac545814c1:1152932499723124750","4:855d6349-9478-498c-bfd7-7aac545814c1:14","4:855d6349-9478-498c-bfd7-7aac545814c1:34","results_in","results_in"
"5:855d6349-9478-498c-bfd7-7aac545814c1:1152932499723124770","4:855d6349-9478-498c-bfd7-7aac545814c1:34","4:855d6349-9478-498c-bfd7-7aac545814c1:35","results_in","causes"
"5:855d6349-9478-498c-bfd7-7aac545814c1:1152931400211496974","4:855d6349-9478-498c-bfd7-7aac545814c1:14","4:855d6349-9478-498c-bfd7-7aac545814c1:34","leads_to","leads_to"
"5:855d6349-9478-498c-bfd7-7aac545814c1:1155183200025182242","4:855d6349-9478-498c-bfd7-7aac545814c1:34","4:855d6349-9478-498c-bfd7-7aac545814c1:14","leads_to","leads_to"
"5:855d6349-9478-498c-bfd7-7aac545814c1:1152932499723124766","4:855d6349-9478-498c-bfd7-7aac545814c1:30","4:855d6349-9478-498c-bfd7-7aac545814c1:31","results_in","leads_to"
"5:855d6349-9478-498c-bfd7-7aac545814c1:6917541122268987410","4:855d6349-9478-498c-bfd7-7aac545814c1:36","4:855d6349-9478-498c-bfd7-7aac545814c1:18","due_to","due_to"
"5:855d6349-9478-498c-bfd7-7aac545814c1:1152937997281263638","4:855d6349-9478-498c-bfd7-7aac545814c1:22","4:855d6349-9478-498c-bfd7-7aac545814c1:36","produces","produces"
"5:855d6349-9478-498c-bfd7-7aac545814c1:1152934698746380308","4:855d6349-9478-498c-bfd7-7aac545814c1:20","4:855d6349-9478-498c-bfd7-7aac545814c1:36","contributes_to","contributes_to"
"5:855d6349-9478-498c-bfd7-7aac545814c1:6917542221780615206","4:855d6349-9478-498c-bfd7-7aac545814c1:36","4:855d6349-9478-498c-bfd7-7aac545814c1:38","contributes_to","results_in"
"5:855d6349-9478-498c-bfd7-7aac545814c1:1152933599234752548","4:855d6349-9478-498c-bfd7-7aac545814c1:36","4:855d6349-9478-498c-bfd7-7aac545814c1:37","due_to","results_in"
"5:855d6349-9478-498c-bfd7-7aac545814c1:1152939096792891392","4:855d6349-9478-498c-bfd7-7aac545814c1:0","4:855d6349-9478-498c-bfd7-7aac545814c1:1","metric","founded_by"
"5:855d6349-9478-498c-bfd7-7aac545814c1:1152932499723124768","4:855d6349-9478-498c-bfd7-7aac545814c1:32","4:855d6349-9478-498c-bfd7-7aac545814c1:33","results_in","causes"
"5:855d6349-9478-498c-bfd7-7aac545814c1:6917543321292242968","4:855d6349-9478-498c-bfd7-7aac545814c1:28","4:855d6349-9478-498c-bfd7-7aac545814c1:24","causes","causes"
"5:855d6349-9478-498c-bfd7-7aac545814c1:1152931400211496988","4:855d6349-9478-498c-bfd7-7aac545814c1:28","4:855d6349-9478-498c-bfd7-7aac545814c1:29","leads_to","causes"
"5:855d6349-9478-498c-bfd7-7aac545814c1:1152924803141730308","4:855d6349-9478-498c-bfd7-7aac545814c1:4","4:855d6349-9478-498c-bfd7-7aac545814c1:5","Group_Member","Group Member"
"5:855d6349-9478-498c-bfd7-7aac545814c1:1152924803141730314","4:855d6349-9478-498c-bfd7-7aac545814c1:10","4:855d6349-9478-498c-bfd7-7aac545814c1:5","Group_Member","Group Member"
"5:855d6349-9478-498c-bfd7-7aac545814c1:1152924803141730312","4:855d6349-9478-498c-bfd7-7aac545814c1:8","4:855d6349-9478-498c-bfd7-7aac545814c1:5","Group_Member","Group Member"
